Symbol,Name,
,,
GOOGL,Alphabet Inc. Class A,
T,AT&T Inc.,
CABO,"Cable One, Inc.",
CARG,"CarGurus, Inc. Class A",
CARS,"Cars.com, Inc.",
CHTR,"Charter Communications, Inc. Class A",
CNK,"Cinemark Holdings, Inc.",
CCOI,Cogent Communications Holdings Inc,
CMCSA,Comcast Corporation Class A,
CNSL,"Consolidated Communications Holdings, Inc.",
SATS,EchoStar Corporation Class A,
EA,Electronic Arts Inc.,
FOXA,Fox Corporation Class A,
FYBR,"Frontier Communications Parent, Inc.",
GOGO,Gogo Inc.,
IAC,IAC Inc.,
IPG,"Interpublic Group of Companies, Inc.",
IRDM,Iridium Communications Inc.,
WLY,"John Wiley & Sons, Inc. Class A",
LYV,"Live Nation Entertainment, Inc.",
LUMN,"Lumen Technologies, Inc.",
MSGS,Madison Square Garden Sports Corp. Class A,
MTCH,"Match Group, Inc.",
META,Meta Platforms Inc Class A,
NFLX,"Netflix, Inc.",
NYT,New York Times Company Class A,
NWSA,News Corporation Class A,
NXST,"Nexstar Media Group, Inc.",
OMC,Omnicom Group Inc,
PARA,Paramount Global Class B,
QNST,"QuinStreet, Inc.",
SCHL,Scholastic Corporation,
SHEN,Shenandoah Telecommunications Company,
SSTK,"Shutterstock, Inc.",
TMUS,"T-Mobile US, Inc.",
TTWO,"Take-Two Interactive Software, Inc.",
TTGT,"TechTarget, Inc.",
TGNA,"TEGNA, Inc.",
TDS,"Telephone and Data Systems, Inc.",
THRY,"Thryv Holdings, Inc.",
TKO,"TKO Group Holdings, Inc. Class A",
TRIP,"TripAdvisor, Inc.",
VZ,Verizon Communications Inc.,
DIS,Walt Disney Company,
WBD,"Warner Bros. Discovery, Inc. Series A",
WMG,Warner Music Group Corp. Class A,
YELP,Yelp Inc,
ZD,"Ziff Davis, Inc.",
ZI,ZoomInfo Technologies Inc,