Symbol,Name
,
AMG,"Affiliated Managers Group, Inc."
AFL,Aflac Incorporated
ALL,Allstate Corporation
ALLY,Ally Financial Inc
AMBC,"Ambac Financial Group, Inc."
AXP,American Express Company
AFG,"American Financial Group, Inc."
AIG,"American International Group, Inc."
AMP,"Ameriprise Financial, Inc."
ABCB,Ameris Bancorp
AMSF,"AMERISAFE, Inc."
NLY,"Annaly Capital Management, Inc."
AON,Aon Plc Class A
ARI,"Apollo Commercial Real Estate Finance, Inc."
ABR,Arbor Realty Trust Inc
ACGL,Arch Capital Group Ltd.
ARR,"ARMOUR Residential REIT, Inc."
AJG,Arthur J. Gallagher & Co.
APAM,"Artisan Partners Asset Management, Inc. Class A"
ASB,Associated Banc-Corp
AIZ,"Assurant, Inc."
AGO,Assured Guaranty Ltd.
AUB,Atlantic Union Bankshares Corporation
AX,"Axos Financial, Inc."
BANC,"Banc of California, Inc."
BANF,BancFirst Corporation
TBBK,Bancorp Inc
BAC,Bank of America Corp
BOH,Bank of Hawaii Corp
BK,Bank of New York Mellon Corp
OZK,Bank OZK
BKU,"BankUnited, Inc."
BANR,Banner Corporation
BRK.B,Berkshire Hathaway Inc. Class B
BHLB,"Berkshire Hills Bancorp, Inc."
BGC,"BGC Group, Inc. Class A"
BLK,"BlackRock, Inc."
BX,Blackstone Inc.
BXMT,"Blackstone Mortgage Trust, Inc. Class A"
BFH,"Bread Financial Holdings, Inc."
BHF,"Brighthouse Financial, Inc."
BSIG,"BrightSphere Investment Group, Inc."
BRKL,"Brookline Bancorp, Inc."
BRO,"Brown & Brown, Inc."
CADE,Cadence Bank
COF,Capital One Financial Corp
CFFN,"Capitol Federal Financial, Inc."
CG,Carlyle Group Inc
CATY,Cathay General Bancorp
CPF,Central Pacific Financial Corp.
SCHW,Charles Schwab Corp
CB,Chubb Limited
CINF,Cincinnati Financial Corporation
C,Citigroup Inc.
CFG,"Citizens Financial Group, Inc."
CHCO,City Holding Company
CME,CME Group Inc. Class A
CNO,"CNO Financial Group, Inc."
CNS,"Cohen & Steers, Inc."
COLB,"Columbia Banking System, Inc."
CMA,Comerica Incorporated
CBSH,"Commerce Bancshares, Inc."
CBU,"Community Financial System, Inc."
CPAY,"Corpay, Inc."
CFR,"Cullen/Frost Bankers, Inc."
CUBI,"Customers Bancorp, Inc."
CVBF,CVB Financial Corp.
DCOM,"Dime Community Bancshares, Inc."
DFS,Discover Financial Services
DFIN,"Donnelley Financial Solutions, Inc."
EGBN,"Eagle Bancorp, Inc."
EWBC,"East West Bancorp, Inc."
EFC,Ellington Financial Inc.
EIG,"Employers Holdings, Inc."
ECPG,"Encore Capital Group, Inc."
ENVA,Enova International Inc
EQH,"Equitable Holdings, Inc."
ERIE,Erie Indemnity Company Class A
ESNT,Essent Group Ltd.
EEFT,"Euronet Worldwide, Inc."
EVR,Evercore Inc. Class A
EG,"Everest Group, Ltd."
EVTC,"EVERTEC, Inc."
EZPW,"EZCORP, Inc. Class A"
FNB,F.N.B. Corporation
FDS,FactSet Research Systems Inc.
FBK,FB Financial Corporation
FHI,"Federated Hermes, Inc. Class B"
FNF,"Fidelity National Financial, Inc. - FNF Group"
FIS,"Fidelity National Information Services, Inc."
FITB,Fifth Third Bancorp
FAF,First American Financial Corporation
FBNC,First Bancorp
FBP,First Bancorp
FCF,First Commonwealth Financial Corporation
FFBC,First Financial Bancorp.
FFIN,First Financial Bankshares Inc
FHB,"First Hawaiian, Inc."
FHN,First Horizon Corporation
FCFS,"FirstCash Holdings, Inc."
FI,"Fiserv, Inc."
FLG,"Flagstar Financial, Inc."
FBRT,"Franklin BSP Realty Trust, Inc."
BEN,"Franklin Resources, Inc."
FULT,Fulton Financial Corporation
GNW,"Genworth Financial, Inc."
GBCI,"Glacier Bancorp, Inc."
GPN,Global Payments Inc.
GL,Globe Life Inc.
GS,"Goldman Sachs Group, Inc."
GSHD,"Goosehead Insurance, Inc. Class A"
GDOT,Green Dot Corporation Class A
HASI,"HA Sustainable Infrastructure Capital, Inc."
HLNE,Hamilton Lane Incorporated Class A
HWC,Hancock Whitney Corporation
HAFC,Hanmi Financial Corporation
THG,"Hanover Insurance Group, Inc."
HIG,"Hartford Financial Services Group, Inc."
HCI,"HCI Group, Inc."
HFWA,Heritage Financial Corporation
HTH,Hilltop Holdings Inc.
HOMB,"Home BancShares, Inc."
HOPE,"Hope Bancorp, Inc."
HMN,Horace Mann Educators Corporation
HLI,"Houlihan Lokey, Inc. Class A"
HBAN,Huntington Bancshares Incorporated
INDB,Independent Bank Corp.
IBTX,"Independent Bank Group, Inc."
IBKR,"Interactive Brokers Group, Inc. Class A"
ICE,"Intercontinental Exchange, Inc."
IBOC,International Bancshares Corporation
IVZ,Invesco Ltd.
JKHY,"Jack Henry & Associates, Inc."
JXN,Jackson Financial Incorporation Class A
JHG,Janus Henderson Group PLC
JEF,Jefferies Financial Group Inc.
JPM,JPMorgan Chase & Co.
KMPR,Kemper Corp
KEY,KeyCorp
KNSL,"Kinsale Capital Group, Inc."
KKR,KKR & Co Inc
KREF,"KKR Real Estate Finance Trust, Inc."
LKFN,Lakeland Financial Corporation
LNC,Lincoln National Corp
L,Loews Corporation
MTB,M&T Bank Corporation
MKTX,MarketAxess Holdings Inc.
MMC,"Marsh & McLennan Companies, Inc."
MA,Mastercard Incorporated Class A
MCY,Mercury General Corporation
MET,"MetLife, Inc."
MTG,MGIC Investment Corporation
MC,Moelis & Co. Class A
MCO,Moody's Corporation
MS,Morgan Stanley
MORN,"Morningstar, Inc."
COOP,"Mr. Cooper Group, Inc."
MSCI,MSCI Inc. Class A
NDAQ,"Nasdaq, Inc."
NBHC,National Bank Holdings Corporation Class A
NAVI,Navient Corp
NBTB,NBT Bancorp Inc.
NATL,NCR Atleos Corporation
NYMT,"New York Mortgage Trust, Inc."
NMIH,"NMI Holdings, Inc."
NTRS,Northern Trust Corporation
NWBI,"Northwest Bancshares, Inc."
OFG,OFG Bancorp
ONB,Old National Bancorp
ORI,Old Republic International Corporation
PPBI,"Pacific Premier Bancorp, Inc."
PLMR,"Palomar Holdings, Inc."
PRK,Park National Corporation
CASH,"Pathward Financial, Inc."
PAYO,Payoneer Global Inc.
PYPL,"PayPal Holdings, Inc."
PMT,PennyMac Mortgage Investment Trust
PNFP,"Pinnacle Financial Partners, Inc."
PIPR,Piper Sandler Companies
PJT,"PJT Partners, Inc. Class A"
PNC,"PNC Financial Services Group, Inc."
PRAA,"PRA Group, Inc."
PFBC,Preferred Bank
PRI,"Primerica, Inc."
PFG,"Principal Financial Group, Inc."
PRA,ProAssurance Corporation
PRG,"PROG Holdings, Inc."
PGR,Progressive Corporation
PB,"Prosperity Bancshares, Inc.(R)"
PFS,"Provident Financial Services, Inc."
PRU,"Prudential Financial, Inc."
RDN,Radian Group Inc.
RJF,"Raymond James Financial, Inc."
RC,Ready Capital Corporation
RWT,"Redwood Trust, Inc."
RF,Regions Financial Corporation
RGA,"Reinsurance Group of America, Incorporated"
RNR,RenaissanceRe Holdings Ltd.
RNST,Renasant Corporation
RLI,RLI Corp.
RYAN,"Ryan Specialty Holdings, Inc. Class A"
SPGI,"S&P Global, Inc."
STBA,"S&T Bancorp, Inc."
SAFT,"Safety Insurance Group, Inc."
SBCF,Seacoast Banking Corporation of Florida
SEIC,SEI Investments Company
SIGI,"Selective Insurance Group, Inc."
SFBS,ServisFirst Bancshares Inc
SFNC,Simmons First National Corporation Class A
SPNT,SiriusPoint Ltd
SLM,SLM Corp
SBSI,"Southside Bancshares, Inc."
SSB,SouthState Corporation
STWD,"Starwood Property Trust, Inc."
STT,State Street Corporation
STEL,"Stellar Bancorp, Inc."
STEP,"StepStone Group, Inc. Class A"
STC,Stewart Information Services Corporation
SF,Stifel Financial Corp
SNEX,StoneX Group Inc.
SYF,Synchrony Financial
SNV,Synovus Financial Corp.
TROW,T. Rowe Price Group
TCBI,"Texas Capital Bancshares, Inc."
TMP,Tompkins Financial Corporation
TRV,"Travelers Companies, Inc."
TFIN,"Triumph Financial, Inc."
TFC,Truist Financial Corporation
TRUP,"Trupanion, Inc."
TRST,TrustCo Bank Corp NY
TRMK,Trustmark Corporation
TWO,Two Harbors Investment Corp.
USB,U.S. Bancorp
UMBF,UMB Financial Corporation
UBSI,"United Bankshares, Inc."
UCB,"United Community Banks, Inc."
UFCS,"United Fire Group, Inc."
UNM,Unum Group
VLY,Valley National Bancorp
VBTX,"Veritex Holdings, Inc."
VIRT,"Virtu Financial, Inc. Class A"
VRTS,"Virtus Investment Partners, Inc."
V,Visa Inc. Class A
VOYA,"Voya Financial, Inc."
WRB,W. R. Berkley Corporation
WAFD,"WaFd, Inc."
WD,"Walker & Dunlop, Inc."
WBS,Webster Financial Corporation
WFC,Wells Fargo & Company
WABC,Westamerica Bancorporation
WAL,Western Alliance Bancorp
WU,Western Union Company
WEX,WEX Inc.
WTW,Willis Towers Watson Public Limited Company
WTFC,Wintrust Financial Corporation
WT,"WisdomTree, Inc."
WRLD,World Acceptance Corporation
WSFS,WSFS Financial Corporation
ZION,"Zions Bancorporation, N.A."